paddock,source,area_ha,lime_total_t,lime_mean_tpha,gypsum_total_t,gypsum_mean_tpha
300,1x1_ndvi,92.17,86.56,0.94,52.82,0.57
400,3x3_bias,144.42,61.61,0.43,62.83,0.44
AIRSTRIPE,1x1_ndvi,32.32,13.8,0.43,35.21,1.09
CREEK_PADDOCK,1x1_ndvi,42.74,40.85,0.96,3.33,0.08
DEER_PADDOCKS,1x1_ndvi,81.88,78.06,0.95,18.29,0.22
HILLPDK,3x3_bias,117.06,114.1,0.97,1.57,0.01
LIGHTNING_TREE,3x3_bias,98.81,117.5,1.19,77.25,0.78
LYNN_DENE_MAILBOX,1x1_ndvi,145.63,145.87,1.0,39.31,0.27
Lease_1,1x1_ndvi,33.44,28.19,0.84,2.05,0.06
Lease_2,1x1_ndvi,34.31,21.96,0.64,5.79,0.17
Lease_3,1x1_ndvi,41.98,31.15,0.74,12.94,0.31
MERRIMU_DRIVEWAY,1x1_ndvi,132.15,27.58,0.21,63.37,0.48
TURKEY_YARD,1x1_ndvi,181.71,114.4,0.63,105.14,0.58
