mosaic,target,n,rmse,mae,r2
2024,ph,60,1.6327178256595687,1.6102412859598796,-15.865793497652383
2024,cec_cmolkg,60,8.891141977117627,8.48888153076172,-7.18786049142779
2024,esp_pct,60,3.7783273465300713,2.9716585858065874,-0.7170088504907506
median_2017_2024,ph,60,1.5119349028330369,1.4919307788213094,-13.462743885549981
median_2017_2024,cec_cmolkg,60,8.94709260723419,8.565987561543784,-7.291234699749577
median_2017_2024,esp_pct,60,3.4365550419855424,2.7170342085263948,-0.4204304672351893
mean_2017_2024,ph,60,1.5035411868388144,1.4830944617589314,-13.30260578617051
mean_2017_2024,cec_cmolkg,60,8.9333333883137,8.570892372131349,-7.265753082620336
mean_2017_2024,esp_pct,60,3.4491467736958317,2.733138396083773,-0.43085861182018625
