target,feature_set,cv,rmse,mae,r2,n_features,n_samples,n_groups
pH,all_64,5fold,0.47839676481909005,0.30284009661835776,-0.1472535305228766,64,69,
pH,all_64,leave_one_paddock_out,0.5074452627168606,0.38531111111111016,-0.2908070826581619,64,69,3.0
pH,best_bands,5fold,0.4284844491228324,0.2557792270531403,0.07964989890109153,10,69,
pH,best_bands,leave_one_paddock_out,0.39332514854744666,0.24029903381642467,0.22449185146540163,10,69,3.0
CEC,all_64,5fold,3.3872861001092835,2.311864734299516,0.025838514457306783,64,69,
CEC,all_64,leave_one_paddock_out,3.893695455414682,3.2468212560386536,-0.28721518934745527,64,69,3.0
CEC,best_bands,5fold,3.1157169699308342,2.053212560386474,0.17577991242834134,12,69,
CEC,best_bands,leave_one_paddock_out,3.321944312855561,2.595792270531408,0.06305976082958709,12,69,3.0
ESP,all_64,5fold,2.157095532665952,1.7541795366977886,0.41018232460386195,64,69,
ESP,all_64,leave_one_paddock_out,3.147914295673558,2.7431436048681386,-0.25610175979380356,64,69,3.0
ESP,best_bands,5fold,1.9325859567017056,1.5319263611522436,0.5265690313797944,12,69,
ESP,best_bands,leave_one_paddock_out,2.831361610461442,2.448290035070396,-0.016177800286458766,12,69,3.0
